Anho,Moneda,Mes,G / ME,ME / USD
2002,BRL,6,"2.018,80","2,8730"
2002,ARS,6,"1.526,32","3,8000"
2002,CAD,6,"3.839,53","1,5106"
2002,ZAR,6,"561,00","10,3387"
2002,SDR,6,"7.658,90","1,3205"
2002,XAU,6,"1.853.970,00","319,6500"
2002,VEF,6,"4,36","1.330,0000"
2002,CLP,6,"8,32","697,5000"
2002,EUR,6,"5.727,50","0,9875"
2002,UYU,6,"312,47","18,5620"
2002,USD,7,"6.000,00","1,0000"
2002,DEM,7,"2.708,80","2,2150"
2002,JPY,7,"50,05","119,8700"
2002,GBP,7,"9.432,00","1,5720"
2002,CHF,7,"4.067,52","1,4751"
2002,FRF,7,"807,68","7,4287"
2002,SEK,7,"640,34","9,3700"
2002,NLG,7,"2.404,14","2,4957"
2002,DKK,7,"797,32","7,5252"
2002,ESP,7,"31,84","188,4300"
2002,NOK,7,"796,98","7,5284"
2002,ATS,7,"385,02","15,5836"
2002,ITL,7,"2,74","2.192,8300"
2002,BEF,7,"131,33","45,6850"
2002,BRL,7,"1.838,24","3,2640"
2002,ARS,7,"1.648,35","3,6400"
2002,CAD,7,"3.816,79","1,5720"
2002,ZAR,7,"592,42","10,1280"
2002,SDR,7,"7.953,00","1,3255"
2002,XAU,7,"1.829.100,00","304,8500"
2002,VEF,7,"4,49","1.335,0100"
2002,CLP,7,"8,56","700,7000"
2002,EUR,7,"5.922,60","0,9871"
2002,UYU,7,"252,63","23,7500"
2002,USD,8,"6.200,00","1,0000"
2002,DEM,8,"2.799,10","2,2150"
2002,JPY,8,"52,40","118,3100"
2002,GBP,8,"9.598,84","1,5482"
2002,CHF,8,"4.151,88","1,4933"
2002,FRF,8,"834,60","7,4287"
2002,SEK,8,"664,97","9,3237"
2002,NLG,8,"2.484,27","2,4957"
2002,DKK,8,"821,05","7,5513"
2002,ESP,8,"32,90","188,4300"
2002,NOK,8,"825,39","7,5116"
2002,ATS,8,"397,85","15,5836"
2002,ITL,8,"2,83","2.192,8300"
2002,BEF,8,"135,71","45,6850"
2002,BRL,8,"1.989,09","3,1170"
2002,ARS,8,"1.722,22","3,6000"
2002,CAD,8,"3.976,40","1,5592"
2002,ZAR,8,"583,74","10,6212"
2002,SDR,8,"8.223,68","1,3264"
2002,XAU,8,"1.935.020,00","312,1000"
2002,VEF,8,"4,40","1.410,0100"
2002,CLP,8,"8,67","715,5000"
2002,EUR,8,"6.094,60","0,9830"
2002,UYU,8,"229,63","27,0000"
2002,USD,9,"6.000,00","1,0000"
2002,DEM,9,"2.708,80","2,2150"
2002,JPY,9,"48,80","122,9600"
2002,GBP,9,"9.316,20","1,5527"
2002,CHF,9,"3.992,02","1,5030"
2002,FRF,9,"807,68","7,4287"
2002,SEK,9,"644,36","9,3115"
2002,NLG,9,"2.404,14","2,4957"
2002,DKK,9,"788,85","7,6060"
2002,ESP,9,"31,84","188,4300"
2002,NOK,9,"799,30","7,5066"
2002,ATS,9,"385,02","15,5836"
2002,ITL,9,"2,74","2.192,8300"
2002,BEF,9,"131,33","45,6850"
2002,BRL,9,"1.558,85","3,8490"
2002,ARS,9,"1.630,43","3,6800"
2002,CAD,9,"3.805,18","1,5768"
2002,ZAR,9,"570,18","10,5230"
2002,SDR,9,"7.908,60","1,3181"
2002,XAU,9,"1.918.500,00","319,7500"
2002,VEF,9,"4,08","1.470,0100"
2002,CLP,9,"8,02","748,2000"
2002,EUR,9,"5.857,20","0,9762"
2002,UYU,9,"223,88","26,8000"
2002,USD,10,"6.450,00","1,0000"
2002,DEM,10,"2.911,96","2,2150"
2002,JPY,10,"52,52","122,8100"
2002,GBP,10,"10.047,81","1,5578"
2002,CHF,10,"4.331,77","1,4890"
2002,FRF,10,"868,25","7,4287"
2002,SEK,10,"699,41","9,2220"
2002,NLG,10,"2.584,45","2,4957"
2002,DKK,10,"853,64","7,5559"
2002,ESP,10,"34,23","188,4300"
2002,NOK,10,"859,54","7,5040"
2002,ATS,10,"413,90","15,5836"
2002,ITL,10,"2,94","2.192,8300"
2002,BEF,10,"141,18","45,6850"
2002,BRL,10,"1.724,60","3,7400"
2002,ARS,10,"1.816,90","3,5500"
2002,CAD,10,"4.116,67","1,5668"
2002,ZAR,10,"638,55","10,1010"
2002,SDR,10,"8.514,00","1,3200"
2002,XAU,10,"2.041.425,00","316,5000"
2002,VEF,10,"4,63","1.393,0100"
2002,CLP,10,"8,79","733,8000"
2002,EUR,10,"6.343,58","0,9835"
2002,UYU,10,"248,08","26,0000"
2002,USD,11,"6.900,00","1,0000"
2002,DEM,11,"3.115,12","2,2150"
2002,JPY,11,"56,52","122,0900"
2002,GBP,11,"10.716,39","1,5531"
2002,CHF,11,"4.651,79","1,4833"
2002,FRF,11,"928,83","7,4287"
2002,SEK,11,"757,12","9,1135"
2002,NLG,11,"2.764,76","2,4957"
2002,DKK,11,"924,28","7,4653"
2002,ESP,11,"36,62","188,4300"
2002,NOK,11,"941,52","7,3286"
2002,ATS,11,"442,77","15,5836"
2002,ITL,11,"3,15","2.192,8300"
2002,BEF,11,"151,03","45,6850"
2002,BRL,11,"1.914,01","3,6050"
2002,ARS,11,"1.977,08","3,4900"
2002,CAD,11,"4.386,24","1,5731"
2002,ZAR,11,"747,72","9,2280"
2002,SDR,11,"9.141,12","1,3248"
2002,XAU,11,"2.191.785,00","317,6500"
2002,VEF,11,"5,26","1.313,0000"
2002,CLP,11,"9,79","705,0000"
2002,EUR,11,"6.861,36","0,9944"
2002,UYU,11,"254,14","27,1500"
2002,USD,12,"7.000,00","1,0000"
2002,DEM,12,"3.160,27","2,2150"
2002,JPY,12,"58,93","118,7900"
2002,GBP,12,"11.221,70","1,6031"
2002,CHF,12,"5.018,28","1,3949"
2002,FRF,12,"942,29","7,4287"
2002,SEK,12,"797,37","8,7789"
2002,NLG,12,"2.804,82","2,4957"
2002,DKK,12,"982,07","7,1278"
2002,ESP,12,"37,15","188,4300"
2002,NOK,12,"1.002,13","6,9851"
2002,ATS,12,"449,19","15,5836"
2002,ITL,12,"3,19","2.192,8300"
2002,BEF,12,"153,22","45,6850"
2002,BRL,12,"1.987,51","3,5220"
2002,ARS,12,"2.064,90","3,3900"
2002,CAD,12,"4.449,53","1,5732"
2002,ZAR,12,"812,44","8,6160"
2002,SDR,12,"9.459,80","1,3514"
2002,XAU,12,"2.432.500,00","347,5000"
2002,VEF,12,"5,04","1.388,0000"
2002,CLP,12,"9,74","718,5000"
2002,EUR,12,"7.293,30","1,0419"
2002,UYU,12,"260,22","26,9000"
2003,USD,1,"6.900,00","1,0000"
2003,DEM,1,"3.115,12","2,2150"
2003,JPY,1,"57,90","119,1700"
2003,GBP,1,"11.362,23","1,6467"
2003,CHF,1,"5.050,14","1,3663"
2003,FRF,1,"928,83","7,4287"
2003,SEK,1,"809,40","8,5248"
2003,NLG,1,"2.764,76","2,4957"
2003,DKK,1,"997,83","6,9150"
2003,ESP,1,"36,62","188,4300"
2003,NOK,1,"1.001,06","6,8927"
2003,ATS,1,"442,77","15,5836"
2003,ITL,1,"3,15","2.192,8300"
2003,BEF,1,"151,03","45,6850"
2003,BRL,1,"1.942,02","3,5530"
2003,ARS,1,"2.123,08","3,2500"
2003,CAD,1,"4.507,45","1,5308"
2003,ZAR,1,"799,54","8,6300"
2003,SDR,1,"9.470,94","1,3726"
2003,XAU,1,"2.535.750,00","367,5000"
2003,VEF,1,"3,59","1.920,0000"
2003,CLP,1,"9,39","735,0000"
2003,EUR,1,"7.416,12","1,0748"
2003,UYU,1,"250,45","27,5500"
2003,USD,2,"6.950,00","1,0000"
2003,DEM,2,"3.137,70","2,2150"
2003,JPY,2,"59,20","117,4000"
2003,GBP,2,"10.961,54","1,5772"
2003,CHF,2,"5.117,44","1,3581"
2003,FRF,2,"935,56","7,4287"
2003,SEK,2,"820,65","8,4689"
